policy,buffer_size,repetition,query,elapsed_ms,result_rows,hit_count,miss_count,operation_count,hit_ratio_percent,pages_in_buffer,valid_stats,error
"LRUK",256,1,"q04",10,11,482,101,583,82.6758,112,true,""
"LRUK",256,1,"q05",74,47,1587,2908,4495,35.3059,256,true,""
"LRUK",256,1,"q06",402,738,6853,14675,21528,31.8330,256,true,""
"LRUK",256,1,"q07",364,738,7336,14192,21528,34.0766,256,true,""
"LRUK",256,1,"q08",126,276,7274,2817,10091,72.0840,256,true,""
"LRUK",256,1,"q09",150,276,7274,2817,10091,72.0840,256,true,""
"MRU",256,1,"q01",38,8,12,2,14,85.7143,2,true,""
"MRU",256,1,"q02",1,30,36,3,39,92.3077,5,true,""
"MRU",256,1,"q03",46,52,593,6,599,98.9983,11,true,""
"MRU",256,1,"q04",15,11,482,101,583,82.6758,112,true,""
"MRU",256,1,"q05",99,47,1566,2929,4495,34.8387,256,true,""
"MRU",256,1,"q06",442,738,6504,15024,21528,30.2118,256,true,""
"MRU",256,1,"q07",359,738,6504,15024,21528,30.2118,256,true,""
"MRU",256,1,"q08",125,276,8887,1204,10091,88.0686,256,true,""
"MRU",256,1,"q09",120,276,8885,1206,10091,88.0488,256,true,""
"FIFO",256,1,"q01",30,8,12,2,14,85.7143,2,true,""
"FIFO",256,1,"q02",0,30,36,3,39,92.3077,5,true,""
"FIFO",256,1,"q03",40,52,593,6,599,98.9983,11,true,""
"FIFO",256,1,"q04",11,11,482,101,583,82.6758,112,true,""
"FIFO",256,1,"q05",66,47,1475,3020,4495,32.8142,256,true,""
"FIFO",256,1,"q06",313,738,9574,11954,21528,44.4723,256,true,""
"FIFO",256,1,"q07",214,738,9574,11954,21528,44.4723,256,true,""
"FIFO",256,1,"q08",61,276,9965,126,10091,98.7514,256,true,""
"FIFO",256,1,"q09",57,276,10065,26,10091,99.7423,256,true,""
